edition,round,score,team1,team2,url,venue,year
1930-URUGUAY,GROUP_STAGE,4-1 (3-0),France,Mexico (México),1930_URUGUAY_FS.htm#1-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Belgium (België),1930_URUGUAY_FS.htm#13-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,2-1 (2-0),Yugoslavia (Југославија),Brazil (Brasil),1930_URUGUAY_FS.htm#7-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (1-0),Romania (România),Peru (Perú),1930_URUGUAY_FS.htm#10-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Argentina,France,1930_URUGUAY_FS.htm#2-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (1-0),Chile,Mexico (México),1930_URUGUAY_FS.htm#3-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (0-0),Yugoslavia (Југославија),Bolivia,1930_URUGUAY_FS.htm#8-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Paraguay,1930_URUGUAY_FS.htm#14-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Uruguay,Peru (Perú),1930_URUGUAY_FS.htm#11-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Chile,France,1930_URUGUAY_FS.htm#4-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,6-3 (3-1),Argentina,Mexico (México),1930_URUGUAY_FS.htm#5-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (1-0),Brazil (Brasil),Bolivia,1930_URUGUAY_FS.htm#9-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (1-0),Paraguay,Belgium (België),1930_URUGUAY_FS.htm#15-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (4-0),Uruguay,Romania (România),1930_URUGUAY_FS.htm#12-WC-30-I,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (2-1),Argentina,Chile,1930_URUGUAY_FS.htm#6-WC-30-I,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (1-0),Argentina,USA,1930_URUGUAY_FS.htm#16-WC-30-II,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (3-1),Uruguay,Yugoslavia (Југославија),1930_URUGUAY_FS.htm#17-WC-30-II,Montevideo.,1930
1930-URUGUAY,_FINAL,4-2 (1-2),Uruguay,Argentina,1930_URUGUAY_FS.htm#18-WC-30-III,Montevideo.,1930
1934-ITALY,PRELIMINARY-Europe,6-2 (4-0),Sweden (Sverige),Estonia (Eesti),1934_ITALY_PR.htm,Stockholm.,1933
1934-ITALY,PRELIMINARY-Europe,0-2 (0-0),Lithuania (Lietuva),Sweden (Sverige),1934_ITALY_PR.htm,Kaunas.,1933
1934-ITALY,PRELIMINARY-Europe,2-2 (0-0),Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),1934_ITALY_PR.htm,Beograd.,1933
1934-ITALY,PRELIMINARY-Europe,1-2 (0-1),Poland (Polska),Czechoslovakia (Československo),1934_ITALY_PR.htm,Warszawa.,1933
1934-ITALY,PRELIMINARY-Europe,2-0 (w.o.),Switzerland (Schweiz / Suisse),Romania (România),1934_ITALY_PR.htm,Bern.,1933
1934-ITALY,PRELIMINARY-N/C.America,1-3 (0-1),Haiti (Haïti),Cuba,1934_ITALY_PR.htm,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,1-1 (0-0),Haiti (Haïti),Cuba,1934_ITALY_PR.htm,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,0-6 (0-3),Haiti (Haïti),Cuba,1934_ITALY_PR.htm,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-Europe,4-4 (1-2),Irish Free State (Saorstát Éireann),Belgium (België),1934_ITALY_PR.htm,Dublin.,1934
1934-ITALY,PRELIMINARY-N/C.America,3-2 (3-1),Mexico (México),Cuba,1934_ITALY_PR.htm,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,9-0 (3-0),Spain (España),Portugal,1934_ITALY_PR_GD.htm#WC-34-I-1,Madrid.,1934
1934-ITALY,PRELIMINARY-Europe,1-9 (1-5),Luxembourg (Lëtzebuerg),Germany (Deutschland),1934_ITALY_PR.htm,Luxembourg.,1934
1934-ITALY,PRELIMINARY-N/C.America,5-0 (3-0),Mexico (México),Cuba,1934_ITALY_PR.htm,México D.F.,1934
1934-ITALY,PRELIMINARY-N.E.,7-1 (4-0),Egypt (مصر),Palestine (فلسطين),1934_ITALY_PR.htm,Cairo.,1934
1934-ITALY,PRELIMINARY-Europe,1-2 (1-2),Portugal,Spain (España),1934_ITALY_PR_GD.htm#WC-34-I-1,Lisboa.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-1 (2-1),Mexico (México),Cuba,1934_ITALY_PR.htm,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,4-0 (2-0),Italy (Italia),Greece (Ελλάδα),1934_ITALY_PR.htm,Milano.,1934
1934-ITALY,PRELIMINARY-Europe,1-4 (1-1),Bulgaria (България),Hungary (Magyarország),1934_ITALY_PR.htm,Sofija.,1934
1934-ITALY,PRELIMINARY-N.E.,1-4 (0-4),Palestine (فلسطين),Egypt (مصر),1934_ITALY_PR.htm,Jerusalem.,1934
1934-ITALY,PRELIMINARY-Europe,5-2 (1-1),Netherlands (Nederland),Irish Free State (Saorstát Éireann),1934_ITALY_PR.htm,Amsterdam.,1934
1934-ITALY,PRELIMINARY-Europe,1-6 (0-2),Luxembourg (Lëtzebuerg),France,1934_ITALY_PR.htm,Luxembourg.,1934
1934-ITALY,PRELIMINARY-Europe,6-1 (3-0),Austria (Österreich),Bulgaria (България),1934_ITALY_PR.htm,Wien.,1934
1934-ITALY,PRELIMINARY-Europe,4-1 (1-0),Hungary (Magyarország),Bulgaria (България),1934_ITALY_PR.htm,Budapest.,1934
1934-ITALY,PRELIMINARY-Europe,2-1 (1-0),Romania (România),Yugoslavia (Југославија),1934_ITALY_PR.htm,Bucureşti.,1934
1934-ITALY,PRELIMINARY-Europe,2-4 (0-0),Belgium (België),Netherlands (Nederland),1934_ITALY_PR.htm,Antwerpen.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-2 (2-1),USA,Mexico (México),1934_ITALY_PR.htm,Roma.,1934
1934-ITALY,FIRST,7-1 (3-0),Italy (Italia),USA,1934_ITALY_FS.htm#20-WC-34-I,Roma.,1934
1934-ITALY,FIRST,3-2 (1-1) (a.e.t.),Austria (Österreich),France,1934_ITALY_FS.htm#19-WC-34-I,Torino.,1934
1934-ITALY,FIRST,5-2 (1-2),Germany (Deutschland),Belgium (België),1934_ITALY_FS.htm#21-WC-34-I,Firenze.,1934
1934-ITALY,FIRST,2-1 (0-1),Czechoslovakia (Československo),Romania (România),1934_ITALY_FS.htm#22-WC-34-I,Trieste.,1934
1934-ITALY,FIRST,3-2 (2-1),Switzerland (Schweiz / Suisse),Netherlands (Nederland),1934_ITALY_FS.htm#23-WC-34-I,Milano.,1934
1934-ITALY,FIRST,3-2 (1-1),Sweden (Sverige),Argentina,1934_ITALY_FS.htm#24-WC-34-I,Bologna.,1934
1934-ITALY,FIRST,3-1 (3-0),Spain (España),Brazil (Brasil),1934_ITALY_FS.htm#25-WC-34-I,Genova.,1934
1934-ITALY,FIRST,4-2 (2-2),Hungary (Magyarország),Egypt (مصر),1934_ITALY_FS.htm#26-WC-34-I,Napoli.,1934
1934-ITALY,1/4_FINAL,2-1 (1-0),Austria (Österreich),Hungary (Magyarország),1934_ITALY_FS.htm#27-WC-34-II,Bologna.,1934
1934-ITALY,1/4_FINAL,3-2 (1-1),Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),1934_ITALY_FS.htm#28-WC-34-II,Torino.,1934
1934-ITALY,1/4_FINAL,2-1 (0-0),Germany (Deutschland),Sweden (Sverige),1934_ITALY_FS.htm#29-WC-34-II,Milano.,1934
1934-ITALY,1/4_FINAL,1-1 (1-1) (a.e.t.),Italy (Italia),Spain (España),1934_ITALY_FS.htm#30-WC-34-II,Firenze.,1934
1934-ITALY,1/4_FINAL,1-0 (1-0) (r.),Italy (Italia),Spain (España),1934_ITALY_FS.htm#31-WC-34-II,Firenze.,1934
1934-ITALY,1/2_FINAL,1-0 (1-0),Italy (Italia),Austria (Österreich),1934_ITALY_FS.htm#32-WC-34-III,Milano.,1934
1934-ITALY,1/2_FINAL,3-1 (1-0),Czechoslovakia (Československo),Germany (Deutschland),1934_ITALY_FS.htm#33-WC-34-III,Roma.,1934
1934-ITALY,PLACES_3&4,3-2 (3-1),Germany (Deutschland),Austria (Österreich),1934_ITALY_FS.htm#34-WC-34-IV,Napoli.,1934
1934-ITALY,_FINAL,2-1 (0-0) (a.e.t.),Italy (Italia),Czechoslovakia (Československo),1934_ITALY_FS.htm#35-WC-34-V,Roma.,1934
1938-FRANCE,PRELIMINARY-Europe,4-0 (0-0),Sweden (Sverige),Finland (Suomi),1938_FRANCE_PR.htm,Stockholm.,1937
1938-FRANCE,PRELIMINARY-Europe,7-2 (3-2),Sweden (Sverige),Estonia (Eesti),1938_FRANCE_PR.htm,Stockholm.,1937
1938-FRANCE,PRELIMINARY-Europe,0-2 (0-2),Finland (Suomi),Germany (Deutschland),1938_FRANCE_PR.htm,Helsinki.,1937
1938-FRANCE,PRELIMINARY-Europe,4-2 (2-0),Latvia (Latvija),Lithuania (Lietuva),1938_FRANCE_PR.htm,Rīga.,1937
1938-FRANCE,PRELIMINARY-Europe,0-1 (0-0),Finland (Suomi),Estonia (Eesti),1938_FRANCE_PR.htm,Turku.,1937
1938-FRANCE,PRELIMINARY-Europe,4-1 (0-1),Germany (Deutschland),Estonia (Eesti),1938_FRANCE_PR.htm,Königsberg.,1937
1938-FRANCE,PRELIMINARY-Europe,1-5 (0-4),Lithuania (Lietuva),Latvia (Latvija),1938_FRANCE_PR.htm,Kaunas.,1937
1938-FRANCE,PRELIMINARY-Europe,2-1 (2-1),Austria (Österreich),Latvia (Latvija),1938_FRANCE_PR.htm,Wien.,1937
1938-FRANCE,PRELIMINARY-Europe,3-2 (2-1),Norway (Norge),Irish Free State (Saorstát Éireann),1938_FRANCE_PR.htm,Oslo.,1937
1938-FRANCE,PRELIMINARY-Europe,4-0 (2-0),Poland (Polska),Yugoslavia (Југославија),1938_FRANCE_PR.htm,Warszawa.,1937
1938-FRANCE,PRELIMINARY-Europe,3-3 (1-2),Irish Free State (Saorstát Éireann),Norway (Norge),1938_FRANCE_PR.htm,Dublin.,1937
1938-FRANCE,PRELIMINARY-Europe,1-1 (0-1),Bulgaria (България),Czechoslovakia (Československo),1938_FRANCE_PR.htm,Sofija.,1937
1938-FRANCE,PRELIMINARY-Europe,5-0 (2-0),Germany (Deutschland),Sweden (Sverige),1938_FRANCE_PR.htm,Hamburg.,1937
1938-FRANCE,PRELIMINARY-Europe,4-0 (1-0),Netherlands (Nederland),Luxembourg (Lëtzebuerg),1938_FRANCE_PR.htm,Rotterdam.,1937
1938-FRANCE,PRELIMINARY-Eur./N.E.,1-3 (1-2),Palestine (فلسطين),Greece (Ελλάδα),1938_FRANCE_PR.htm,Tel Aviv.,1938
1938-FRANCE,PRELIMINARY-Eur./N.E.,1-0 (0-0),Greece (Ελλάδα),Palestine (فلسطين),1938_FRANCE_PR.htm,Athína.,1938
1938-FRANCE,PRELIMINARY-Europe,2-3 (2-1),Luxembourg (Lëtzebuerg),Belgium (België),1938_FRANCE_PR.htm,Luxembourg.,1938
1938-FRANCE,PRELIMINARY-Eur./N.E.,11-1 (7-1),Hungary (Magyarország),Greece (Ελλάδα),1938_FRANCE_PR.htm,Budapest.,1938
1938-FRANCE,PRELIMINARY-Europe,1-0 (0-0),Yugoslavia (Југославија),Poland (Polska),1938_FRANCE_PR.htm,Beograd.,1938
1938-FRANCE,PRELIMINARY-Europe,1-1 (0-1),Belgium (België),Netherlands (Nederland),1938_FRANCE_PR.htm,Antwerpen.,1938
1938-FRANCE,PRELIMINARY-Europe,6-0 (1-0),Czechoslovakia (Československo),Bulgaria (България),1938_FRANCE_PR.htm,Praha.,1938
1938-FRANCE,PRELIMINARY-Europe,2-1 (2-0),Switzerland (Schweiz / Suisse),Portugal,1938_FRANCE_PR.htm,Milano.,1938
1938-FRANCE,FIRST,1-1 (1-1) (a.e.t.),Switzerland (Schweiz / Suisse),Germany (Deutschland),1938_FRANCE_FS.htm#36-WC-38-I,Paris.,1938
1938-FRANCE,FIRST,2-1 (1-0) (a.e.t.),Italy (Italia),Norway (Norge),1938_FRANCE_FS.htm#37-WC-38-I,Marseille.,1938
1938-FRANCE,FIRST,3-1 (2-1),France,Belgium (België),1938_FRANCE_FS.htm#38-WC-38-I,Paris.,1938
1938-FRANCE,FIRST,6-0 (4-0),Hungary (Magyarország),Dutch East Indies (Nederlands-Indië),1938_FRANCE_FS.htm#39-WC-38-I,Reims.,1938
1938-FRANCE,FIRST,3-3 (1-1) (a.e.t.),Cuba,Romania (România),1938_FRANCE_FS.htm#40-WC-38-I,Toulouse.,1938
1938-FRANCE,FIRST,6-5 (3-1) (a.e.t.),Brazil (Brasil),Poland (Polska),1938_FRANCE_FS.htm#41-WC-38-I,Strasbourg.,1938
1938-FRANCE,FIRST,3-0 (0-0) (a.e.t.),Czechoslovakia (Československo),Netherlands (Nederland),1938_FRANCE_FS.htm#42-WC-38-I,Le_Havre.,1938
1938-FRANCE,FIRST,4-2 (1-2) (r.),Switzerland (Schweiz / Suisse),Germany (Deutschland),1938_FRANCE_FS.htm#43-WC-38-I,Paris.,1938
1938-FRANCE,FIRST,2-1 (0-1) (r.),Cuba,Romania (România),1938_FRANCE_FS.htm#44-WC-38-I,Toulouse.,1938
1938-FRANCE,1/4_FINAL,3-1 (1-1),Italy (Italia),France,1938_FRANCE_FS.htm#45-WC-38-II,Paris.,1938
1938-FRANCE,1/4_FINAL,1-1 (1-0) (a.e.t.),Brazil (Brasil),Czechoslovakia (Československo),1938_FRANCE_FS.htm#46-WC-38-II,Bordeaux.,1938
1938-FRANCE,1/4_FINAL,2-0 (1-0),Hungary (Magyarország),Switzerland (Schweiz / Suisse),1938_FRANCE_FS.htm#47-WC-38-II,Lille.,1938
1938-FRANCE,1/4_FINAL,8-0 (4-0),Sweden (Sverige),Cuba,1938_FRANCE_FS.htm#48-WC-38-II,Antibes.,1938
1938-FRANCE,1/4_FINAL,2-1 (0-1) (r.),Brazil (Brasil),Czechoslovakia (Československo),1938_FRANCE_FS.htm#49-WC-38-II,Bordeaux.,1938
1938-FRANCE,1/2_FINAL,2-1 (0-0),Italy (Italia),Brazil (Brasil),1938_FRANCE_FS.htm#50-WC-38-III,Marseille.,1938
1938-FRANCE,1/2_FINAL,5-1 (3-1),Hungary (Magyarország),Sweden (Sverige),1938_FRANCE_FS.htm#51-WC-38-III,Paris.,1938
1938-FRANCE,PLACES_3&4,4-2 (1-2),Brazil (Brasil),Sweden (Sverige),1938_FRANCE_FS.htm#52-WC-38-IV,Bordeaux.,1938
1938-FRANCE,_FINAL,4-2 (3-1),Italy (Italia),Hungary (Magyarország),1938_FRANCE_FS.htm#53-WC-38-V,Paris.,1938
1950-BRAZIL,PRELIMINARY-Europe,3-1 (2-1),Sweden (Sverige),Ireland (Éire),1950_BRAZIL_PR.htm,Stockholm.,1949
1950-BRAZIL,PRELIMINARY-Europe,5-2 (3-1),Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),1950_BRAZIL_PR.htm,Zürich.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,6-0 (4-0),Yugoslavia (Југославија),Israel (ישראל),1950_BRAZIL_PR.htm,Beograd.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,0-6 (0-3),USA,Mexico (México),1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-Europe,3-0 (2-0),Ireland (Éire),Finland (Suomi),1950_BRAZIL_PR.htm,Dublin.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,2-0 (1-0),Mexico (México),Cuba,1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,1-1 (1-1),Cuba,USA,1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,2-5 (0-3),Israel (ישראל),Yugoslavia (Југославија),1950_BRAZIL_PR.htm,Tel Aviv.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-3 (2-1),Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),1950_BRAZIL_PR.htm,Luxembourg.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,6-2 (3-0),Mexico (México),USA,1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,5-2 (4-1),USA,Cuba,1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-N/C.America,0-3 (0-1),Cuba,Mexico (México),1950_BRAZIL_PR.htm,México D.F.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-8 (0-5),Northern Ireland (Ulster),Scotland,1950_BRAZIL_PR.htm,Belfast.,1949
1950-BRAZIL,PRELIMINARY-Europe,8-1 (5-1),Sweden (Sverige),Finland (Suomi),1950_BRAZIL_PR.htm,Malmö.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,1-1 (1-0),Yugoslavia (Југославија),France,1950_BRAZIL_PR.htm,Beograd.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-1 (0-0),Finland (Suomi),Ireland (Éire),1950_BRAZIL_PR.htm,Helsinki.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-4 (0-3),Wales (Cymru),England,1950_BRAZIL_PR.htm,Cardiff.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,1-1 (1-1),France,Yugoslavia (Југославија),1950_BRAZIL_PR.htm,Paris.,1949
1950-BRAZIL,PRELIMINARY-Europe,2-0 (1-0),Scotland,Wales (Cymru),1950_BRAZIL_PR.htm,Glasgow.,1949
1950-BRAZIL,PRELIMINARY-Europe,1-3 (0-2),Ireland (Éire),Sweden (Sverige),1950_BRAZIL_PR.htm,Dublin.,1949
1950-BRAZIL,PRELIMINARY-Europe,9-2 (4-0),England,Northern Ireland (Ulster),1950_BRAZIL_PR.htm,Manchester.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,7-0 (3-0),Turkey (Türkiye),Syria (سوريا),1950_BRAZIL_PR.htm,Ankara.,1949
1950-BRAZIL,PRELIMINARY-Eur./N.E.,3-2 (1-1),Yugoslavia (Југославија),France,1950_BRAZIL_PR.htm,Firenze.,1949
1950-BRAZIL,PRELIMINARY-S.America,2-0 (0-0),Bolivia,Chile,1950_BRAZIL_PR.htm,La_Paz.,1950
1950-BRAZIL,PRELIMINARY-Europe,0-0 (0-0),Wales (Cymru),Northern Ireland (Ulster),1950_BRAZIL_PR.htm,Wrexham.,1950
1950-BRAZIL,PRELIMINARY-Europe,5-1 (3-1),Spain (España),Portugal,1950_BRAZIL_PR_GD.htm#WC-50-I-1,Madrid.,1950
1950-BRAZIL,PRELIMINARY-Europe,2-2 (0-1),Portugal,Spain (España),1950_BRAZIL_PR_GD.htm#WC-50-I-1,Lisboa.,1950
1950-BRAZIL,PRELIMINARY-Europe,0-1 (0-0),Scotland,England,1950_BRAZIL_PR.htm,Glasgow.,1950
1950-BRAZIL,GROUP_STAGE,4-0 (1-0),Brazil (Brasil),Mexico (México),1950_BRAZIL_FS.htm#54-WC-50-I,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),England,Chile,1950_BRAZIL_FS.htm#60-WC-50-I,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,3-1 (0-1),Spain (España),USA,1950_BRAZIL_FS.htm#61-WC-50-I,Curitiba.,1950
1950-BRAZIL,GROUP_STAGE,3-2 (2-1),Sweden (Sverige),Italy (Italia),1950_BRAZIL_FS.htm#66-WC-50-I,São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,3-0 (0-0),Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),1950_BRAZIL_FS.htm#55-WC-50-I,Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-2 (2-1),Brazil (Brasil),Switzerland (Schweiz / Suisse),1950_BRAZIL_FS.htm#56-WC-50-I,São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,4-1 (2-0),Yugoslavia (Југославија),Mexico (México),1950_BRAZIL_FS.htm#57-WC-50-I,Porto_Alegre.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (2-0),Spain (España),Chile,1950_BRAZIL_FS.htm#62-WC-50-I,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-2 (2-1),Sweden (Sverige),Paraguay,1950_BRAZIL_FS.htm#67-WC-50-I,Curitiba.,1950
1950-BRAZIL,GROUP_STAGE,1-0 (1-0),USA,England,1950_BRAZIL_FS.htm#63-WC-50-I,Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),Brazil (Brasil),Yugoslavia (Југославија),1950_BRAZIL_FS.htm#58-WC-50-I,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,1-0 (0-0),Spain (España),England,1950_BRAZIL_FS.htm#64-WC-50-I,Rio de Janeiro.,1950
1950-BRAZIL,GROUP_STAGE,2-0 (1-0),Italy (Italia),Paraguay,1950_BRAZIL_FS.htm#68-WC-50-I,São_Paulo.,1950
1950-BRAZIL,GROUP_STAGE,8-0 (4-0),Uruguay,Bolivia,1950_BRAZIL_FS.htm#69-WC-50-I,Belo Horizonte.,1950
1950-BRAZIL,GROUP_STAGE,2-1 (2-0),Switzerland (Schweiz / Suisse),Mexico (México),1950_BRAZIL_FS.htm#59-WC-50-I,Porto_Alegre.,1950
1950-BRAZIL,GROUP_STAGE,5-2 (2-0),Chile,USA,1950_BRAZIL_FS.htm#65-WC-50-I,Recife.,1950
1950-BRAZIL,FINAL_ROUND,7-1 (3-0),Brazil (Brasil),Sweden (Sverige),1950_BRAZIL_FS.htm#70-WC-50-II,Rio de Janeiro.,1950
1950-BRAZIL,FINAL_ROUND,2-2 (1-2),Uruguay,Spain (España),1950_BRAZIL_FS.htm#71-WC-50-II,São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,3-2 (1-2),Uruguay,Sweden (Sverige),1950_BRAZIL_FS.htm#72-WC-50-II,São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,6-1 (3-0),Brazil (Brasil),Spain (España),1950_BRAZIL_FS.htm#73-WC-50-II,Rio de Janeiro.,1950
1950-BRAZIL,FINAL_ROUND,3-1 (2-0),Sweden (Sverige),Spain (España),1950_BRAZIL_FS.htm#75-WC-50-II,São_Paulo.,1950
1950-BRAZIL,FINAL_ROUND,2-1 (0-0),Uruguay,Brazil (Brasil),1950_BRAZIL_FS.htm#74-WC-50-II,Rio de Janeiro.,1950
1954-SWITZERLAND,PRELIMINARY-Eur./N.E.,1-0 (1-0),Yugoslavia (Југославија),Greece (Ελλάδα),1954_SWITZERLAND_PR.htm,Beograd.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-4 (0-3),Finland (Suomi),Belgium (België),1954_SWITZERLAND_PR.htm,Helsinki.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-3 (2-3),Sweden (Sverige),Belgium (België),1954_SWITZERLAND_PR.htm,Stockholm.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-0 (0-0),Czechoslovakia (Československo),Romania (România),1954_SWITZERLAND_PR.htm,Praha.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,2-3 (2-2),Norway (Norge),Saarland,1954_SWITZERLAND_PR.htm,Oslo.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-1 (2-0),Romania (România),Bulgaria (България),1954_SWITZERLAND_PR.htm,Bucureşti.,1953
1954-SWITZERLAND,PRELIMINARY-N/C.America,8-0 (5-0),Mexico (México),Haiti (Haïti),1954_SWITZERLAND_PR.htm,México D.F.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,3-3 (0-2),Finland (Suomi),Sweden (Sverige),1954_SWITZERLAND_PR.htm,Helsinki.,1953
1954-SWITZERLAND,PRELIMINARY-Europe,4-0 (2-0),Sweden (Sverige),Finland (Suomi),1954_SWITZERLAND_PR.htm,Stockholm.,1953
